TASK_ID,DB_MSTR_ID,SRC_OBJ_NM,TGT_OBJ_NM,SRC_OBJ_GIT_LOC,ACTIVE_FLAG,LOAD_TYPE,FREQUENCY,DOMAIN,SUB_DOMAIN,REC_INSERT_DTTM,REC_UPDATE_DTTM
2,4,LND_NURTEC_ACTIVITY,STG_NURTEC_ACTIVITY,TBD,N,F,M,ACTIVITY,,2024-02-26 05:12:00.092,
2,1,LND_VYNDAMAX_PAP_INCL_SALES_SF,STG_VYNDAMAX_PAP_INCL_SALES_SF,TBD,N,F,M,SALES,,2024-02-26 05:12:00.092,
2,2,LND_VYNDAMAX,STG_VYNDAMAX,TBD,Y,F,M,SALES,,2024-02-26 05:12:00.092,
2,3,LND_VYNDAMAX_MASTER,STG_VYNDAMAX_MASTER,TBD,N,F,M,SALES,,2024-02-26 05:12:00.092,
2,5,LND_BOSULIF_NPS,STG_BOSULIF_NPS,TBD,N,F,M,SALES,,2024-02-26 05:12:00.092,
2,6,LND_BOSULIF_TRX,STG_BOSULIF_TRX,TBD,N,F,M,SALES,,2024-02-26 05:12:00.092,
2,7,LND_INLYTA_TRX,STG_INLYTA_TRX,TBD,N,F,M,SALES,,2024-02-26 05:12:00.092,
2,8,LND_INLYTA_NPS,STG_INLYTA_NPS,TBD,N,F,M,SALES,,2024-02-26 05:12:00.092,
3,9,VW_STG_VYNDAMAX_MSTR,VYNDAMAX_MSTR,TBD,Y,F,M,SALES,,2024-02-26 05:12:00.092,
2,10,LND_TALZENNA_TRX_DATAA,STG_TALZENNA_TRX_DATA,TBD,Y,F,M,SALES,,2024-03-18 18:45:00.092,
2,11,LND_TALZENNA_NPS_DATA,STG_TALZENNA_NPS_DATA,TBD,Y,F,M,SALES,,2024-03-18 18:45:00.092,
2,12,LND_BOSULIF_TRX_DATA,STG_BOSULIF_TRX_DATA,TBD,Y,F,M,SALES,,2024-03-18 18:45:00.092,
2,13,LND_BOSULIF_NPS_DATA,STG_BOSULIF_NPS_DATA,TBD,Y,F,M,SALES,,2024-03-18 18:45:00.092,
2,14,"STG_BOSULIF_NPS_DATA, STG_BOSULIF_TRX_DATA",STG_BOSULIF_DATA,TBD,Y,F,M,SALES,,2024-03-18 18:45:00.092,
2,15,"STG_TALZENNA_NPS_DATA, STG_TALZENNA_TRX_DATA",STG_TALZENNA_DATA,TBD,Y,F,M,SALES,,2024-03-18 18:45:00.092,
2,16,"STG_TALZENNA_DATA, STG_BOSULIF_DATA",STG_BRAND_DATA,TBD,Y,F,M,SALES,,2024-03-18 18:45:00.092,
